"mountain_no","mountain_name","stage21_supported","stage21_top_candidate","stage23_top_candidate","stage25_active","is_marker","diagnostic_category"
"1","","false","summit-candidate:a0c35720552a78c8","summit-candidate:a0c35720552a78c8","true","false","stage21_not_supported_insufficient_evidence"
"2","","false","summit-candidate:cb62a56e70cedbce","summit-candidate:cb62a56e70cedbce","true","false","stage21_not_supported_insufficient_evidence"
"4","","false","summit-candidate:e7ae682a07af2e10","summit-candidate:e7ae682a07af2e10","true","false","stage21_not_supported_insufficient_evidence"
"5","","false","summit-candidate:d03c84134ca0989d","summit-candidate:d03c84134ca0989d","true","false","stage21_not_supported_insufficient_evidence"
"6","","false","summit-candidate:d03c84134ca0989d","summit-candidate:d03c84134ca0989d","true","false","stage21_not_supported_insufficient_evidence"
"7","","false","summit-candidate:36e3ac8003e8b5d0","summit-candidate:36e3ac8003e8b5d0","true","false","stage21_not_supported_insufficient_evidence"
"8","","false","summit-candidate:ac7a1ebef52ea30c","summit-candidate:ac7a1ebef52ea30c","true","false","stage21_not_supported_insufficient_evidence"
"9","","false","summit-candidate:d6b806525709cc22","summit-candidate:d6b806525709cc22","true","false","stage21_not_supported_insufficient_evidence"
"10","","false","summit-candidate:40260be41579ab8f","summit-candidate:40260be41579ab8f","true","false","stage21_not_supported_insufficient_evidence"
"11","","false","summit-candidate:59c561a08189d6b9","summit-candidate:59c561a08189d6b9","true","false","stage21_not_supported_insufficient_evidence"
"12","","false","summit-candidate:59c561a08189d6b9","summit-candidate:59c561a08189d6b9","true","false","stage21_not_supported_insufficient_evidence"
"13","","false","summit-candidate:0eff3d1ea2b48d73","summit-candidate:0eff3d1ea2b48d73","true","false","stage21_not_supported_insufficient_evidence"
"14","","false","summit-candidate:0eff3d1ea2b48d73","summit-candidate:2c817617699a0a45","true","false","stage21_not_supported_insufficient_evidence"
"15","","false","summit-candidate:ea5f711625df386b","summit-candidate:ea5f711625df386b","true","false","stage21_not_supported_insufficient_evidence"
"16","","false","summit-candidate:a0ef25e9a532b62e","summit-candidate:a0ef25e9a532b62e","true","false","stage21_not_supported_insufficient_evidence"
"17","","false","summit-candidate:da46e12c02d47edf","summit-candidate:da46e12c02d47edf","true","false","stage21_not_supported_insufficient_evidence"
"18","","false","summit-candidate:0c210f0edfbda06f","summit-candidate:0c210f0edfbda06f","true","false","stage21_not_supported_insufficient_evidence"
"19","","false","summit-candidate:a637fbc518f58ac5","summit-candidate:a637fbc518f58ac5","true","false","stage21_not_supported_insufficient_evidence"
"20","","false","summit-candidate:24dc6cf37ce4e715","summit-candidate:24dc6cf37ce4e715","true","false","stage21_not_supported_insufficient_evidence"
"21","","false","summit-candidate:24dc6cf37ce4e715","summit-candidate:24dc6cf37ce4e715","true","false","stage21_not_supported_insufficient_evidence"
"22","","false","summit-candidate:c2491268ea5645b7","summit-candidate:c2491268ea5645b7","true","false","stage21_not_supported_insufficient_evidence"
"23","","false","summit-candidate:543b4550a3ef3e87","summit-candidate:543b4550a3ef3e87","true","false","stage21_not_supported_insufficient_evidence"
"24","","false","summit-candidate:e4808690532bb46c","summit-candidate:e4808690532bb46c","true","false","stage21_not_supported_insufficient_evidence"
"25","","false","summit-candidate:d9391b001d4bc442","summit-candidate:d9391b001d4bc442","true","false","stage21_not_supported_insufficient_evidence"
"26","","false","summit-candidate:d9391b001d4bc442","summit-candidate:d9391b001d4bc442","true","false","stage21_not_supported_insufficient_evidence"
"27","","false","summit-candidate:17c3649ad9b147ce","summit-candidate:17c3649ad9b147ce","true","false","stage21_not_supported_insufficient_evidence"
"28","","false","summit-candidate:7d7066baad9d7077","summit-candidate:7d7066baad9d7077","true","false","stage21_not_supported_insufficient_evidence"
"29","","false","summit-candidate:8ff6361109e5ed5c","summit-candidate:8ff6361109e5ed5c","true","false","stage21_not_supported_insufficient_evidence"
"30","","false","summit-candidate:43911aa413390192","summit-candidate:43911aa413390192","true","false","stage21_not_supported_insufficient_evidence"
"31","","false","summit-candidate:bdfa250c89c1ca90","summit-candidate:bdfa250c89c1ca90","true","false","stage21_not_supported_insufficient_evidence"
"32","","false","summit-candidate:23c112538ef91e0d","summit-candidate:23c112538ef91e0d","true","false","stage21_not_supported_insufficient_evidence"
"33","","false","summit-candidate:23c112538ef91e0d","summit-candidate:23c112538ef91e0d","true","false","stage21_not_supported_insufficient_evidence"
"34","","false","summit-candidate:bdfa250c89c1ca90","summit-candidate:bdfa250c89c1ca90","true","false","stage21_not_supported_insufficient_evidence"
"35","","false","summit-candidate:54cf4155ab259d9d","summit-candidate:54cf4155ab259d9d","true","false","stage21_not_supported_insufficient_evidence"
"36","","false","summit-candidate:54cf4155ab259d9d","summit-candidate:0cc40babcd0ce6bf","true","false","stage21_not_supported_insufficient_evidence"
"37","","false","summit-candidate:2011a6c909945d6f","summit-candidate:2011a6c909945d6f","true","false","stage21_not_supported_insufficient_evidence"
"38","","false","summit-candidate:fbd725fc8006e2c8","summit-candidate:468c5bbccd8aba53","true","false","stage21_not_supported_insufficient_evidence"
"39","","false","summit-candidate:fbd725fc8006e2c8","summit-candidate:fbd725fc8006e2c8","true","false","stage21_not_supported_insufficient_evidence"
"40","","false","summit-candidate:7d7066baad9d7077","summit-candidate:7d7066baad9d7077","true","false","stage21_not_supported_insufficient_evidence"
"41","","false","summit-candidate:c1f175d0616be696","summit-candidate:c1f175d0616be696","true","false","stage21_not_supported_insufficient_evidence"
"42","","false","summit-candidate:0a765b89058b256b","summit-candidate:0a765b89058b256b","true","false","stage21_not_supported_insufficient_evidence"
"43","","false","summit-candidate:07834c521328cc1d","summit-candidate:07834c521328cc1d","true","false","stage21_not_supported_insufficient_evidence"
"44","","false","summit-candidate:622b899de76208ef","summit-candidate:622b899de76208ef","true","false","stage21_not_supported_insufficient_evidence"
"45","","false","summit-candidate:ab8cf0f07d2a219d","summit-candidate:ab8cf0f07d2a219d","true","false","stage21_not_supported_insufficient_evidence"
"46","","false","summit-candidate:7c680b0eed0187fa","summit-candidate:7c680b0eed0187fa","true","false","stage21_not_supported_insufficient_evidence"
"47","","false","summit-candidate:aba609f471e97e4a","summit-candidate:aba609f471e97e4a","true","false","stage21_not_supported_insufficient_evidence"
