mountain_no,mountain_name,assignment_status,review_category,proposed_lat,proposed_lon,proposed_ele_m,proposed_coordinate_source,proposed_summit_candidate_id,source_gpx_basename,distance_gemini_to_gpx_candidate_m,distance_csv_to_proposed_m,elevation_diff_csv_to_proposed_m,confidence,needs_human_review,review_reason_codes,notes
116,北三方ヶ森,unassigned,conflict_case,,,,,,,,,,0,true,gemini_coordinate_conflict,Gemini grounding index indicates a coordinate conflict across raw responses. Proposing no coordinate to avoid false consensus.
117,大友山,unassigned,conflict_case,,,,,,,,,,0,true,gemini_coordinate_conflict,Gemini grounding index indicates a coordinate conflict across raw responses. Proposing no coordinate to avoid false consensus.
119,寒風山,unassigned,conflict_case,,,,,,,,,,0,true,gemini_coordinate_conflict,Gemini grounding index indicates a coordinate conflict across raw responses. Proposing no coordinate to avoid false consensus.
120,ちち山,unassigned,conflict_case,,,,,,,,,,0,true,gemini_coordinate_conflict,Gemini grounding index indicates a coordinate conflict across raw responses. Proposing no coordinate to avoid false consensus.
121,笹ヶ峰,unassigned,conflict_case,,,,,,,,,,0,true,gemini_coordinate_conflict,Gemini grounding index indicates a coordinate conflict across raw responses. Proposing no coordinate to avoid false consensus.
122,松軒山,unassigned,conflict_case,,,,,,,,,,0,true,gemini_coordinate_conflict,Gemini grounding index indicates a coordinate conflict across raw responses. Proposing no coordinate to avoid false consensus.
123,三山,unassigned,conflict_case,,,,,,,,,,0,true,gemini_coordinate_conflict,Gemini grounding index indicates a coordinate conflict across raw responses. Proposing no coordinate to avoid false consensus.
126,石灰山,unassigned,conflict_case,,,,,,,,,,0,true,gemini_coordinate_conflict,Gemini grounding index indicates a coordinate conflict across raw responses. Proposing no coordinate to avoid false consensus.
128,狩江権現山,unassigned,conflict_case,,,,,,,,,,0,true,gemini_coordinate_conflict,Gemini grounding index indicates a coordinate conflict across raw responses. Proposing no coordinate to avoid false consensus.
129,極山,unassigned,conflict_case,,,,,,,,,,0,true,gemini_coordinate_conflict,Gemini grounding index indicates a coordinate conflict across raw responses. Proposing no coordinate to avoid false consensus.
132,鏡山,unassigned,conflict_case,,,,,,,,,,0,true,gemini_coordinate_conflict,Gemini grounding index indicates a coordinate conflict across raw responses. Proposing no coordinate to avoid false consensus.
134,雄甲山,unassigned,conflict_case,,,,,,,,,,0,true,gemini_coordinate_conflict,Gemini grounding index indicates a coordinate conflict across raw responses. Proposing no coordinate to avoid false consensus.
135,雌甲山,unassigned,conflict_case,,,,,,,,,,0,true,gemini_coordinate_conflict,Gemini grounding index indicates a coordinate conflict across raw responses. Proposing no coordinate to avoid false consensus.
136,泉ガ森,unassigned,conflict_case,,,,,,,,,,0,true,gemini_coordinate_conflict,Gemini grounding index indicates a coordinate conflict across raw responses. Proposing no coordinate to avoid false consensus.
137,東山,unassigned,conflict_case,,,,,,,,,,0,true,gemini_coordinate_conflict,Gemini grounding index indicates a coordinate conflict across raw responses. Proposing no coordinate to avoid false consensus.
140,高戸山,unassigned,conflict_case,,,,,,,,,,0,true,gemini_coordinate_conflict,Gemini grounding index indicates a coordinate conflict across raw responses. Proposing no coordinate to avoid false consensus.
141,犬吠山,unassigned,conflict_case,,,,,,,,,,0,true,gemini_coordinate_conflict,Gemini grounding index indicates a coordinate conflict across raw responses. Proposing no coordinate to avoid false consensus.
142,泰の山,unassigned,conflict_case,,,,,,,,,,0,true,gemini_coordinate_conflict,Gemini grounding index indicates a coordinate conflict across raw responses. Proposing no coordinate to avoid false consensus.
147,大丸山,unassigned,conflict_case,,,,,,,,,,0,true,gemini_coordinate_conflict,Gemini grounding index indicates a coordinate conflict across raw responses. Proposing no coordinate to avoid false consensus.
148,港山,unassigned,conflict_case,,,,,,,,,,0,true,gemini_coordinate_conflict,Gemini grounding index indicates a coordinate conflict across raw responses. Proposing no coordinate to avoid false consensus.
149,すくも山,unassigned,conflict_case,,,,,,,,,,0,true,gemini_coordinate_conflict,Gemini grounding index indicates a coordinate conflict across raw responses. Proposing no coordinate to avoid false consensus.
150,愛ノ山,unassigned,conflict_case,,,,,,,,,,0,true,gemini_coordinate_conflict,Gemini grounding index indicates a coordinate conflict across raw responses. Proposing no coordinate to avoid false consensus.
152,割石峠山,unassigned,conflict_case,,,,,,,,,,0,true,gemini_coordinate_conflict,Gemini grounding index indicates a coordinate conflict across raw responses. Proposing no coordinate to avoid false consensus.
153,石墨山,unassigned,conflict_case,,,,,,,,,,0,true,gemini_coordinate_conflict,Gemini grounding index indicates a coordinate conflict across raw responses. Proposing no coordinate to avoid false consensus.
154,法師山,unassigned,conflict_case,,,,,,,,,,0,true,gemini_coordinate_conflict,Gemini grounding index indicates a coordinate conflict across raw responses. Proposing no coordinate to avoid false consensus.
155,白猪山,unassigned,conflict_case,,,,,,,,,,0,true,gemini_coordinate_conflict,Gemini grounding index indicates a coordinate conflict across raw responses. Proposing no coordinate to avoid false consensus.
156,梅ヶ谷山,unassigned,conflict_case,,,,,,,,,,0,true,gemini_coordinate_conflict,Gemini grounding index indicates a coordinate conflict across raw responses. Proposing no coordinate to avoid false consensus.
157,樽谷山,unassigned,conflict_case,,,,,,,,,,0,true,gemini_coordinate_conflict,Gemini grounding index indicates a coordinate conflict across raw responses. Proposing no coordinate to avoid false consensus.
158,根無山,unassigned,conflict_case,,,,,,,,,,0,true,gemini_coordinate_conflict,Gemini grounding index indicates a coordinate conflict across raw responses. Proposing no coordinate to avoid false consensus.
159,権現山,unassigned,conflict_case,,,,,,,,,,0,true,gemini_coordinate_conflict,Gemini grounding index indicates a coordinate conflict across raw responses. Proposing no coordinate to avoid false consensus.
160,黒岳,unassigned,conflict_case,,,,,,,,,,0,true,gemini_coordinate_conflict,Gemini grounding index indicates a coordinate conflict across raw responses. Proposing no coordinate to avoid false consensus.
161,エビラ山,unassigned,conflict_case,,,,,,,,,,0,true,gemini_coordinate_conflict,Gemini grounding index indicates a coordinate conflict across raw responses. Proposing no coordinate to avoid false consensus.
162,二ッ岳,unassigned,conflict_case,,,,,,,,,,0,true,gemini_coordinate_conflict,Gemini grounding index indicates a coordinate conflict across raw responses. Proposing no coordinate to avoid false consensus.
164,出石山,unassigned,conflict_case,,,,,,,,,,0,true,gemini_coordinate_conflict,Gemini grounding index indicates a coordinate conflict across raw responses. Proposing no coordinate to avoid false consensus.
165,綱繰山,unassigned,conflict_case,,,,,,,,,,0,true,gemini_coordinate_conflict,Gemini grounding index indicates a coordinate conflict across raw responses. Proposing no coordinate to avoid false consensus.
166,獅子舞の鼻,unassigned,conflict_case,,,,,,,,,,0,true,gemini_coordinate_conflict,Gemini grounding index indicates a coordinate conflict across raw responses. Proposing no coordinate to avoid false consensus.
167,冠山,unassigned,conflict_case,,,,,,,,,,0,true,gemini_coordinate_conflict,Gemini grounding index indicates a coordinate conflict across raw responses. Proposing no coordinate to avoid false consensus.
168,遠ヶ森,unassigned,conflict_case,,,,,,,,,,0,true,gemini_coordinate_conflict,Gemini grounding index indicates a coordinate conflict across raw responses. Proposing no coordinate to avoid false consensus.
176,永納山(永納山城址),assigned,conflict_case,33.9821643,133.0333086,360.61048094906045,gpx_summit_candidate,summit-candidate:d0f2d4ee46a862c3,yamap_2022-08-26_08_45.gpx,890.6,,-228.6,0.566,true,csv_elevation_mismatch;name_mismatch;municipality_adjacent_warning;multiple_strong_candidates_conflict,
206,古城山,assigned,conflict_case,33.9465786,132.799306,218.9593458353185,gpx_summit_candidate,summit-candidate:82d3009a6c1b2511,yamap_2022-10-03_14_57.gpx,931.3,,-17,0.647,true,name_mismatch;multiple_strong_candidates_conflict,
208,宝ヶ峯,assigned,conflict_case,33.8346163,132.8126367,278.9166666666667,gpx_summit_candidate,summit-candidate:d43fade4de3e33c8,yamap_2023-03-05_11_09.gpx,63,,5.1,0.9025,true,multiple_strong_candidates_conflict,
209,淡路ヶ峠,assigned,conflict_case,33.8346163,132.8126367,278.9166666666667,gpx_summit_candidate,summit-candidate:d43fade4de3e33c8,yamap_2023-03-05_11_09.gpx,676.6,,-5.9,0.766,true,multiple_strong_candidates_conflict,
222,西赤石山,assigned,conflict_case,33.8594931,133.3189152,1423.68,gpx_summit_candidate,summit-candidate:a557f14fb032a808,yamap_2022-11-26_04_41.gpx,439.5,,202.3,0.6705,true,csv_elevation_mismatch;name_mismatch;multiple_strong_candidates_conflict,
