mountain_no,mountain_name,review_category,proposed_candidate_id,proposed_candidate_type,canonical_summit_candidate_id,supplemental_candidate_id,supplemental_duplicate_of_canonical_candidate_id,distance_supplemental_to_canonical_m,proposed_lat,proposed_lon,proposed_ele_m,source_gpx_basename,distance_gemini_to_proposed_m,distance_csv_to_proposed_m,elevation_diff_csv_to_proposed_m,confidence,needs_human_review,review_reason_codes,notes
116,北三方ヶ森,conflict_case,,,,,,,,,,,,,,0,true,gemini_coordinate_conflict,Gemini grounding index indicates a coordinate conflict across raw responses. Proposing no coordinate to avoid false consensus.
117,大友山,conflict_case,,,,,,,,,,,,,,0,true,gemini_coordinate_conflict,Gemini grounding index indicates a coordinate conflict across raw responses. Proposing no coordinate to avoid false consensus.
119,寒風山,conflict_case,,,,,,,,,,,,,,0,true,gemini_coordinate_conflict,Gemini grounding index indicates a coordinate conflict across raw responses. Proposing no coordinate to avoid false consensus.
120,ちち山,conflict_case,,,,,,,,,,,,,,0,true,gemini_coordinate_conflict,Gemini grounding index indicates a coordinate conflict across raw responses. Proposing no coordinate to avoid false consensus.
121,笹ヶ峰,conflict_case,,,,,,,,,,,,,,0,true,gemini_coordinate_conflict,Gemini grounding index indicates a coordinate conflict across raw responses. Proposing no coordinate to avoid false consensus.
122,松軒山,conflict_case,,,,,,,,,,,,,,0,true,gemini_coordinate_conflict,Gemini grounding index indicates a coordinate conflict across raw responses. Proposing no coordinate to avoid false consensus.
123,三山,conflict_case,,,,,,,,,,,,,,0,true,gemini_coordinate_conflict,Gemini grounding index indicates a coordinate conflict across raw responses. Proposing no coordinate to avoid false consensus.
126,石灰山,conflict_case,,,,,,,,,,,,,,0,true,gemini_coordinate_conflict,Gemini grounding index indicates a coordinate conflict across raw responses. Proposing no coordinate to avoid false consensus.
128,狩江権現山,conflict_case,,,,,,,,,,,,,,0,true,gemini_coordinate_conflict,Gemini grounding index indicates a coordinate conflict across raw responses. Proposing no coordinate to avoid false consensus.
129,極山,conflict_case,,,,,,,,,,,,,,0,true,gemini_coordinate_conflict,Gemini grounding index indicates a coordinate conflict across raw responses. Proposing no coordinate to avoid false consensus.
132,鏡山,conflict_case,,,,,,,,,,,,,,0,true,gemini_coordinate_conflict,Gemini grounding index indicates a coordinate conflict across raw responses. Proposing no coordinate to avoid false consensus.
134,雄甲山,conflict_case,,,,,,,,,,,,,,0,true,gemini_coordinate_conflict,Gemini grounding index indicates a coordinate conflict across raw responses. Proposing no coordinate to avoid false consensus.
135,雌甲山,conflict_case,,,,,,,,,,,,,,0,true,gemini_coordinate_conflict,Gemini grounding index indicates a coordinate conflict across raw responses. Proposing no coordinate to avoid false consensus.
136,泉ガ森,conflict_case,,,,,,,,,,,,,,0,true,gemini_coordinate_conflict,Gemini grounding index indicates a coordinate conflict across raw responses. Proposing no coordinate to avoid false consensus.
137,東山,conflict_case,,,,,,,,,,,,,,0,true,gemini_coordinate_conflict,Gemini grounding index indicates a coordinate conflict across raw responses. Proposing no coordinate to avoid false consensus.
140,高戸山,conflict_case,,,,,,,,,,,,,,0,true,gemini_coordinate_conflict,Gemini grounding index indicates a coordinate conflict across raw responses. Proposing no coordinate to avoid false consensus.
141,犬吠山,conflict_case,,,,,,,,,,,,,,0,true,gemini_coordinate_conflict,Gemini grounding index indicates a coordinate conflict across raw responses. Proposing no coordinate to avoid false consensus.
142,泰の山,conflict_case,,,,,,,,,,,,,,0,true,gemini_coordinate_conflict,Gemini grounding index indicates a coordinate conflict across raw responses. Proposing no coordinate to avoid false consensus.
147,大丸山,conflict_case,,,,,,,,,,,,,,0,true,gemini_coordinate_conflict,Gemini grounding index indicates a coordinate conflict across raw responses. Proposing no coordinate to avoid false consensus.
148,港山,conflict_case,,,,,,,,,,,,,,0,true,gemini_coordinate_conflict,Gemini grounding index indicates a coordinate conflict across raw responses. Proposing no coordinate to avoid false consensus.
149,すくも山,conflict_case,,,,,,,,,,,,,,0,true,gemini_coordinate_conflict,Gemini grounding index indicates a coordinate conflict across raw responses. Proposing no coordinate to avoid false consensus.
