mountain_no,mountain_name,assignment_status,review_category,proposed_lat,proposed_lon,proposed_ele_m,proposed_coordinate_source,proposed_summit_candidate_id,source_gpx_basename,distance_gemini_to_gpx_candidate_m,distance_csv_to_proposed_m,elevation_diff_csv_to_proposed_m,confidence,needs_human_review,review_reason_codes,notes
49,大久保山,assigned,gemini_only_coordinate_review,33.7225,132.646944,412,gemini_only,,,0,,-237,0.94,true,gemini_only_coordinate,No GPX summit candidate found within 1000m. Proposing Gemini grounding coordinate directly.
50,八里ヶ峠,assigned,gemini_only_coordinate_review,33.743611,132.695833,373,gemini_only,,,0,,-191,0.97,true,gemini_only_coordinate,No GPX summit candidate found within 1000m. Proposing Gemini grounding coordinate directly.
52,天神山,assigned,gemini_only_coordinate_review,33.729167,133.053889,1010,gemini_only,,,0,,-963,0.93,true,gemini_only_coordinate,No GPX summit candidate found within 1000m. Proposing Gemini grounding coordinate directly.
53,室岡山,assigned,gemini_only_coordinate_review,33.731667,133.061944,1177,gemini_only,,,0,,-1135,0.95,true,gemini_only_coordinate,No GPX summit candidate found within 1000m. Proposing Gemini grounding coordinate directly.
54,潮見山,assigned,gemini_only_coordinate_review,33.7275,133.049444,1011,gemini_only,,,0,,-888,0.93,true,gemini_only_coordinate,No GPX summit candidate found within 1000m. Proposing Gemini grounding coordinate directly.
55,明神山,assigned,gemini_only_coordinate_review,33.738056,133.045,1410,gemini_only,,,0,,-1249,0.92,true,gemini_only_coordinate,No GPX summit candidate found within 1000m. Proposing Gemini grounding coordinate directly.
63,大久保山,assigned,gemini_only_coordinate_review,33.844167,133.315556,1698,gemini_only,,,0,,-543,0.98,true,gemini_only_coordinate,No GPX summit candidate found within 1000m. Proposing Gemini grounding coordinate directly.
65,引地山,assigned,gemini_only_coordinate_review,33.725556,132.868611,1027,gemini_only,,,0,,0,0.96,true,gemini_only_coordinate,No GPX summit candidate found within 1000m. Proposing Gemini grounding coordinate directly.
66,東三方ヶ森,assigned,gemini_only_coordinate_review,33.911389,132.934167,1233,gemini_only,,,0,,0,0.98,true,gemini_only_coordinate,No GPX summit candidate found within 1000m. Proposing Gemini grounding coordinate directly.
71,碁石ヶ森,assigned,gemini_only_coordinate_review,33.393889,132.656944,1183,gemini_only,,,0,,0,0.95,true,gemini_only_coordinate,No GPX summit candidate found within 1000m. Proposing Gemini grounding coordinate directly.
73,御在所山,assigned,gemini_only_coordinate_review,33.355,132.6975,915,gemini_only,,,0,,0,0.93,true,gemini_only_coordinate,No GPX summit candidate found within 1000m. Proposing Gemini grounding coordinate directly.
74,岩黒山,assigned,gemini_only_coordinate_review,33.754444,133.123889,1746,gemini_only,,,0,,0,0.99,true,gemini_only_coordinate,No GPX summit candidate found within 1000m. Proposing Gemini grounding coordinate directly.
76,手箱山,assigned,gemini_only_coordinate_review,33.738889,133.117778,1806,gemini_only,,,0,,0,0.98,true,gemini_only_coordinate,No GPX summit candidate found within 1000m. Proposing Gemini grounding coordinate directly.
77,大川嶺,assigned,gemini_only_coordinate_review,33.565,132.915,1525,gemini_only,,,0,,0,0.97,true,gemini_only_coordinate,No GPX summit candidate found within 1000m. Proposing Gemini grounding coordinate directly.
79,ウバホド山,assigned,gemini_only_coordinate_review,33.560278,132.951944,1482,gemini_only,,,0,,0,0.96,true,gemini_only_coordinate,No GPX summit candidate found within 1000m. Proposing Gemini grounding coordinate directly.
83,寒川山,assigned,gemini_only_coordinate_review,33.955556,133.518611,817,gemini_only,,,0,,0,0.94,true,gemini_only_coordinate,No GPX summit candidate found within 1000m. Proposing Gemini grounding coordinate directly.
84,豊受山,assigned,gemini_only_coordinate_review,33.947222,133.473056,1247,gemini_only,,,0,,0,0.98,true,gemini_only_coordinate,No GPX summit candidate found within 1000m. Proposing Gemini grounding coordinate directly.
86,七々木山,assigned,gemini_only_coordinate_review,33.935556,133.493056,1145,gemini_only,,,0,,0,0.95,true,gemini_only_coordinate,No GPX summit candidate found within 1000m. Proposing Gemini grounding coordinate directly.
87,鋸山,assigned,gemini_only_coordinate_review,33.931389,133.513889,1017,gemini_only,,,0,,0,0.98,true,gemini_only_coordinate,No GPX summit candidate found within 1000m. Proposing Gemini grounding coordinate directly.
