mountain_no,mountain_name,proposed_summit_candidate_id,source_gpx_basename,track_name,activity_titles,distance_gemini_to_gpx_candidate_m,gpx_support_tier,name_evidence_tier,municipality_compatibility,elevation_diff_csv_to_proposed_m,review_category,review_reason_codes,possible_explanation,recommended_action
72,伊之子山,summit-candidate:b1d864fd1fcc9dcb,yamap_2023-01-03_07_36.gpx,福見山・河原樋山・真松嶺・柿王寺森,福見山・河原樋山・真松嶺・柿王寺森,731.8,distant_gpx_support,name_missing,municipality_boundary_compatible,11.5,manual_review_required,name_mismatch;gpx_distant_support,track_named_for_different_peak,Extract text from YAMAP activity log observations or diary text to verify which candidate belongs to the target peak.
75,筒上山,summit-candidate:22e40e9eb117a033,yamap_2024-05-03_08_45.gpx,面河山,面河山,857.7,distant_gpx_support,name_missing,municipality_exact,340.1,manual_review_required,csv_elevation_mismatch;name_mismatch;gpx_distant_support,candidate_extraction_gap,Reprocess raw GPX using higher density peak detection rules (lower prominence or peak radius).
82,陣ヶ森,summit-candidate:25e47e34740282d2,yamap_2022-10-28_06_21.gpx,割石峠山・石墨山・法師山・白猪山・根無山・樽谷山・梅ヶ谷山,割石峠山・石墨山・法師山・白猪山・根無山・樽谷山・梅ヶ谷山,218.7,medium_gpx_support,name_missing,municipality_boundary_compatible,-106.4,manual_review_required,name_mismatch,track_named_for_different_peak,Extract text from YAMAP activity log observations or diary text to verify which candidate belongs to the target peak.
93,南尖峰,summit-candidate:22e40e9eb117a033,yamap_2024-05-03_08_45.gpx,面河山,面河山,652.1,distant_gpx_support,name_missing,municipality_exact,462.1,manual_review_required,csv_elevation_mismatch;name_mismatch;gpx_distant_support,candidate_extraction_gap,Reprocess raw GPX using higher density peak detection rules (lower prominence or peak radius).
105,鞍瀬ノ頭,summit-candidate:242762a3c600ff91,yamap_2022-05-15_06_10.gpx,割石東山・青滝山・堂ヶ森,割石東山・青滝山・堂ヶ森;高岳・中岳・南岳;烏帽子岳,970.2,distant_gpx_support,name_missing,municipality_boundary_compatible,587,manual_review_required,csv_elevation_mismatch;name_mismatch;gpx_distant_support,track_named_for_different_peak,Extract text from YAMAP activity log observations or diary text to verify which candidate belongs to the target peak.
106,二ノ森,summit-candidate:124ae25a51aa9a64,yamap_2022-05-15_06_10.gpx,割石東山・青滝山・堂ヶ森,割石東山・青滝山・堂ヶ森;高岳・中岳・南岳;烏帽子岳,658.6,distant_gpx_support,name_missing,municipality_boundary_compatible,673.1,manual_review_required,csv_elevation_mismatch;name_mismatch;gpx_distant_support,track_named_for_different_peak,Extract text from YAMAP activity log observations or diary text to verify which candidate belongs to the target peak.
108,西ノ冠岳,summit-candidate:bb644412fd9a132c,yamap_2022-05-15_06_10.gpx,割石東山・青滝山・堂ヶ森,割石東山・青滝山・堂ヶ森;高岳・中岳・南岳;烏帽子岳,932.4,distant_gpx_support,name_missing,municipality_exact,207.5,manual_review_required,csv_elevation_mismatch;name_mismatch;gpx_distant_support,track_named_for_different_peak,Extract text from YAMAP activity log observations or diary text to verify which candidate belongs to the target peak.
109,西黒森,summit-candidate:df6b60d513f5518e,yamap_2024-07-06_10_01.gpx,子持権現山・男山・瓶ヶ森,子持権現山・男山・瓶ヶ森,996.7,distant_gpx_support,name_missing,municipality_boundary_compatible,199.4,manual_review_required,name_mismatch;gpx_distant_support,track_named_for_different_peak,Extract text from YAMAP activity log observations or diary text to verify which candidate belongs to the target peak.
110,小富士,summit-candidate:541ec86327b86307,yamap_2022-10-11_15_15.gpx,黒崎山,黒崎山,722.3,distant_gpx_support,name_missing,municipality_unknown,193,manual_review_required,name_mismatch;gpx_distant_support,candidate_extraction_gap,Reprocess raw GPX using higher density peak detection rules (lower prominence or peak radius).
114,世田山,summit-candidate:1ed32ce6414c2781,yamap_2022-12-25_13_36.gpx,医王山,医王山;高山;塔ノ峰;海山;近見山;唐子山;永納山(永納山城址);佐々久山,969,distant_gpx_support,name_missing,municipality_boundary_compatible,240.6,manual_review_required,csv_elevation_mismatch;name_mismatch;gpx_distant_support,candidate_extraction_gap,Reprocess raw GPX using higher density peak detection rules (lower prominence or peak radius).
